month,code,country,population,totalVaccinations,vaccinationsPer100
Jan,GIB,Gibraltar,33691,13286,39.43
Jan,GIN,Guinea,13132792,,0.00
Jan,GMB,Gambia,2416664,,0.00
Jan,GNB,Gambia,1967998,,0.00
Jan,GNQ,Equatorial Guinea,1402985,,0.00
Jan,GRC,Greece,10423056,271287,2.60
Jan,GRD,Grenada,112519,,0.00
Jan,GRL,Greenland,56772,2584,4.55
Jan,GTM,Guatemala,17915567,,0.00
Jan,GUY,Guyana,786559,,0.00
Jan,HKG,Hong Kong,7496988,,0.00
Jan,HND,Honduras,9904608,,0.00
Jan,HRV,Croatia,4105268,80000,1.95
Jan,HTI,Haiti,11402533,,0.00
Jan,HUN,Hungary,9660350,299138,3.10
Jan,IDN,Indonesia,273523621,515681,0.19
Jan,IMN,Isle of Man,85032,6859,8.07
Jan,IND,India,1380004385,3758843,0.27
Jan,IRL,Ireland,4937796,199800,4.05
Jan,IRN,Iran,83992953,,0.00
Jan,IRQ,Iraq,40222503,,0.00
Jan,ISL,Iceland,341250,15522,4.55
Jan,ISR,Israel,8655541,4949113,57.18
Jan,ITA,Italy,60461828,2011859,3.33
Jan,JAM,Jamaica,2961161,,0.00
Jan,JEY,Jersey,101073,14838,14.68
Jan,JOR,Jordan,10203140,40000,0.39
Jan,JPN,Japan,126476458,,0.00
Jan,KAZ,Kazakhstan,18776707,0,0.00
Jan,KEN,Kenya,53771300,,0.00
Jan,KGZ,Kyrgyzstan,6524191,,0.00
Jan,KHM,Cambodia,16718971,,0.00
Jan,KNA,Saint Kitts and Nevis,53192,,0.00
Jan,KOR,South Korea,51269183,,0.00
Jan,KWT,Kuwait,4270563,35000,0.82
Jan,LAO,Laos,7275556,,0.00
Jan,LBN,Lebanon,6825442,,0.00
Jan,LBR,Liberia,5057677,,0.00
Jan,LBY,Libya,6871287,,0.00
Jan,LCA,Saint Lucia,183629,,0.00
Jan,LIE,Liechtenstein,38137,,0.00
Jan,LKA,Sri Lanka,21413250,59154,0.28
Jan,LSO,Lesotho,2142252,,0.00
Jan,LTU,Lithuania,2722291,94245,3.46
Jan,LUX,Luxembourg,625976,12428,1.99
Jan,LVA,Latvia,1886202,23458,1.24
Jan,MCO,Monaco,39244,2400,6.12
Jan,MDA,Moldova,4033963,,0.00
Jan,MDG,Madagascar,27691019,,0.00
Jan,MDV,Maldives,540542,,0.00
Jan,MEX,Mexico,128932753,673327,0.52
Jan,MHL,Marshall Islands,59194,,0.00
Jan,MKD,North Macedonia,2083380,,0.00
Jan,MLI,Mali,20250834,,0.00
